Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,covid_cases,covid_deaths
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,united states,40 - 49 years,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.9,31.3,34.5,31.3 - 34.5,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,united states,50 - 59 years,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.8,26.6,29.2,26.6 - 29.2,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,united states,60 - 69 years,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,21.5,20.3,22.7,20.3 - 22.7,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,united states,70 - 79 years,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,16.3,14.5,18.1,14.5 - 18.1,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,united states,80 years and above,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,13.4,10.6,16.7,10.6 - 16.7,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,united states,Male,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,26.6,25.6,27.7,25.6 - 27.7,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,united states,Female,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.4,31.4,33.4,31.4 - 33.4,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,35.7,33.3,38.3,33.3 - 38.3,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.7,26.9,28.5,26.9 - 28.5,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.6,30.2,35.1,30.2 - 35.1,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,20.2,18.0,22.5,18.0 - 22.5,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,41.0,37.1,45.1,37.1 - 45.1,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,united states,Less than a high school diploma,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,37.8,33.9,41.8,33.9 - 41.8,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,united states,High school diploma or GED,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.7,30.1,33.4,30.1 - 33.4,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,united states,Some college/Associate's degree,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.9,31.9,33.9,31.9 - 33.9,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,united states,Bachelor's degree or higher,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,23.2,22.5,23.9,22.5 - 23.9,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,united states,With disability,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,60.6,58.0,63.2,58.0 - 63.2,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,united states,Without disability,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,24.9,24.1,25.6,24.1 - 25.6,,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,alabama,Alabama,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.8,25.7,38.4,25.7 - 38.4,29.3-31.8,1760.0,29.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,alaska,Alaska,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,26.9,22.5,31.6,22.5 - 31.6,26.9-29.2,230.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,arizona,Arizona,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.8,28.0,35.9,28.0 - 35.9,29.3-31.8,3868.0,72.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,arkansas,Arkansas,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.9,27.7,38.3,27.7 - 38.3,31.9-36.5,992.0,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,california,California,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,30.7,27.9,33.6,27.9 - 33.6,29.3-31.8,10462.0,236.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,colorado,Colorado,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,30.3,26.5,34.4,26.5 - 34.4,29.3-31.8,3319.0,58.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,connecticut,Connecticut,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,23.6,19.6,27.9,19.6 - 27.9,22.1-26.8,698.0,18.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,delaware,Delaware,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.4,22.1,33.2,22.1 - 33.2,26.9-29.2,352.0,8.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,district of columbia,District of Columbia,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,26.8,21.2,33.0,21.2 - 33.0,22.1-26.8,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,florida,Florida,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,28.0,23.6,32.6,23.6 - 32.6,26.9-29.2,15938.0,283.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,georgia,Georgia,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.2,27.1,37.6,27.1 - 37.6,31.9-36.5,3098.0,153.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,hawaii,Hawaii,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.3,23.9,35.2,23.9 - 35.2,29.3-31.8,375.0,4.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,idaho,Idaho,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,23.9,19.0,29.4,19.0 - 29.4,22.1-26.8,743.0,9.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,illinois,Illinois,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,28.2,23.9,32.8,23.9 - 32.8,26.9-29.2,4664.0,184.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,indiana,Indiana,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.3,25.5,33.3,25.5 - 33.3,29.3-31.8,2780.0,65.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,iowa,Iowa,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.8,23.6,32.2,23.6 - 32.2,26.9-29.2,587.0,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,kansas,Kansas,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,25.4,21.5,29.6,21.5 - 29.6,22.1-26.8,849.0,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,kentucky,Kentucky,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,28.4,22.7,34.6,22.7 - 34.6,26.9-29.2,1458.0,338.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,louisiana,Louisiana,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,34.2,28.8,40.0,28.8 - 40.0,31.9-36.5,2411.0,33.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,maine,Maine,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,28.0,21.7,35.0,21.7 - 35.0,26.9-29.2,562.0,11.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,maryland,Maryland,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,26.6,23.3,30.1,23.3 - 30.1,22.1-26.8,1188.0,585.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,massachusetts,Massachusetts,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.2,23.9,30.6,23.9 - 30.6,26.9-29.2,1238.0,47.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,michigan,Michigan,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,23.1,19.9,26.6,19.9 - 26.6,22.1-26.8,3425.0,175.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,minnesota,Minnesota,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,26.6,23.1,30.2,23.1 - 30.2,22.1-26.8,1736.0,13.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,mississippi,Mississippi,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.3,27.8,37.1,27.8 - 37.1,31.9-36.5,793.0,21.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,missouri,Missouri,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,33.6,30.0,37.5,30.0 - 37.5,31.9-36.5,2872.0,32.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,montana,Montana,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,22.1,17.6,27.2,17.6 - 27.2,22.1-26.8,545.0,14.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,nebraska,Nebraska,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,22.6,19.1,26.4,19.1 - 26.4,22.1-26.8,331.0,3.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,nevada,Nevada,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,36.5,32.5,40.6,32.5 - 40.6,31.9-36.5,1432.0,23.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new hampshire,New Hampshire,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,33.4,28.6,38.4,28.6 - 38.4,31.9-36.5,321.0,7.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new jersey,New Jersey,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,30.2,25.6,35.2,25.6 - 35.2,29.3-31.8,1795.0,87.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new mexico,New Mexico,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.8,28.3,37.5,28.3 - 37.5,31.9-36.5,652.0,14.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new york,New York,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.7,23.4,32.3,23.4 - 32.3,26.9-29.2,3000.0,53.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,north carolina,North Carolina,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.8,26.3,37.6,26.3 - 37.6,29.3-31.8,3606.0,61.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,north dakota,North Dakota,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.0,20.9,33.8,20.9 - 33.8,26.9-29.2,264.0,5.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,ohio,Ohio,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,30.4,26.3,34.7,26.3 - 34.7,29.3-31.8,3305.0,81.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,oklahoma,Oklahoma,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.2,25.0,37.9,25.0 - 37.9,29.3-31.8,788.0,25.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,oregon,Oregon,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.8,29.3,36.5,29.3 - 36.5,31.9-36.5,2210.0,37.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,pennsylvania,Pennsylvania,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.8,26.3,33.5,26.3 - 33.5,29.3-31.8,5151.0,130.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,rhode island,Rhode Island,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,27.0,21.7,32.9,21.7 - 32.9,26.9-29.2,198.0,7.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,south carolina,South Carolina,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,30.8,26.5,35.2,26.5 - 35.2,29.3-31.8,1550.0,26.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,south dakota,South Dakota,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,25.5,20.2,31.5,20.2 - 31.5,22.1-26.8,150.0,16.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,tennessee,Tennessee,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.2,25.3,33.5,25.3 - 33.5,26.9-29.2,2045.0,35.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,texas,Texas,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.2,28.3,36.2,28.3 - 36.2,31.9-36.5,12121.0,216.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,utah,Utah,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.0,25.3,33.1,25.3 - 33.1,26.9-29.2,1407.0,13.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,vermont,Vermont,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,25.9,20.5,31.9,20.5 - 31.9,22.1-26.8,100.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,virginia,Virginia,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.9,26.2,33.8,26.2 - 33.8,29.3-31.8,1696.0,71.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,washington,Washington,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.4,28.7,36.2,28.7 - 36.2,31.9-36.5,5181.0,38.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,west virginia,West Virginia,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.8,25.5,38.6,25.5 - 38.6,29.3-31.8,1159.0,10.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,wisconsin,Wisconsin,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,22.3,19.1,25.7,19.1 - 25.7,22.1-26.8,1360.0,128.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,wyoming,Wyoming,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,24.2,18.3,30.9,18.3 - 30.9,22.1-26.8,487.0,1.0
Symptoms of Depressive Disorder,National Estimate,united states,United States,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,21.6,20.8,22.4,20.8 - 22.4,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,18 - 29 years,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,36.0,33.7,38.4,33.7 - 38.4,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,30 - 39 years,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,25.4,23.8,27.1,23.8 - 27.1,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,40 - 49 years,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,23.2,21.4,25.2,21.4 - 25.2,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,50 - 59 years,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,19.5,18.1,21.1,18.1 - 21.1,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,60 - 69 years,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,16.0,14.6,17.5,14.6 - 17.5,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,70 - 79 years,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,10.7,9.2,12.4,9.2 - 12.4,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,80 years and above,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,6.4,5.1,7.9,5.1 - 7.9,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Male,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.1,18.9,21.3,18.9 - 21.3,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Female,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,23.0,21.8,24.1,21.8 - 24.1,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,26.5,24.4,28.8,24.4 - 28.8,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,19.5,18.6,20.3,18.6 - 20.3,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,26.6,24.2,29.1,24.2 - 29.1,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,15.1,12.9,17.5,12.9 - 17.5,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,32.2,28.3,36.4,28.3 - 36.4,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Less than a high school diploma,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,26.2,22.4,30.4,22.4 - 30.4,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,High school diploma or GED,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,25.0,23.2,26.9,23.2 - 26.9,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Some college/Associate's degree,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,25.2,24.2,26.3,24.2 - 26.3,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Bachelor's degree or higher,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,14.2,13.5,15.0,13.5 - 15.0,,0.0,0.0
Symptoms of Depressive Disorder,By Disability status,united states,With disability,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,49.9,47.7,52.1,47.7 - 52.1,,0.0,0.0
Symptoms of Depressive Disorder,By Disability status,united states,Without disability,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,17.3,16.5,18.2,16.5 - 18.2,,0.0,0.0
Symptoms of Depressive Disorder,By State,alabama,Alabama,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,24.5,19.6,29.9,19.6 - 29.9,22.4-31.5,1476.0,39.0
Symptoms of Depressive Disorder,By State,alaska,Alaska,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.3,16.4,24.6,16.4 - 24.6,19.4-20.7,155.0,4.0
Symptoms of Depressive Disorder,By State,arizona,Arizona,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,23.3,19.4,27.5,19.4 - 27.5,22.4-31.5,2971.0,75.0
Symptoms of Depressive Disorder,By State,arkansas,Arkansas,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.8,16.1,26.2,16.1 - 26.2,20.8-22.3,1741.0,31.0
Symptoms of Depressive Disorder,By State,california,California,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,21.7,19.4,24.2,19.4 - 24.2,20.8-22.3,6091.0,130.0
Symptoms of Depressive Disorder,By State,colorado,Colorado,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.7,17.5,24.2,17.5 - 24.2,19.4-20.7,2454.0,50.0
Symptoms of Depressive Disorder,By State,connecticut,Connecticut,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,19.8,15.7,24.4,15.7 - 24.4,19.4-20.7,299.0,7.0
Symptoms of Depressive Disorder,By State,delaware,Delaware,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.6,13.5,29.4,13.5 - 29.4,19.4-20.7,213.0,6.0
Symptoms of Depressive Disorder,By State,district of columbia,District of Columbia,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,18.7,13.6,24.6,13.6 - 24.6,13.2-19.3,0.0,0.0
Symptoms of Depressive Disorder,By State,florida,Florida,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,25.7,22.0,29.7,22.0 - 29.7,22.4-31.5,12032.0,280.0
Symptoms of Depressive Disorder,By State,georgia,Georgia,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,26.5,23.0,30.2,23.0 - 30.2,22.4-31.5,2540.0,190.0
Symptoms of Depressive Disorder,By State,hawaii,Hawaii,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,18.2,14.5,22.4,14.5 - 22.4,13.2-19.3,393.0,3.0
Symptoms of Depressive Disorder,By State,idaho,Idaho,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,21.3,17.6,25.3,17.6 - 25.3,20.8-22.3,626.0,7.0
Symptoms of Depressive Disorder,By State,illinois,Illinois,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,22.3,19.5,25.4,19.5 - 25.4,20.8-22.3,2059.0,119.0
Symptoms of Depressive Disorder,By State,indiana,Indiana,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.5,16.6,24.9,16.6 - 24.9,19.4-20.7,2366.0,56.0
Symptoms of Depressive Disorder,By State,iowa,Iowa,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,22.9,18.4,27.9,18.4 - 27.9,22.4-31.5,574.0,24.0
Symptoms of Depressive Disorder,By State,kansas,Kansas,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,19.7,15.3,24.7,15.3 - 24.7,19.4-20.7,804.0,22.0
Symptoms of Depressive Disorder,By State,kentucky,Kentucky,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,22.0,17.2,27.3,17.2 - 27.3,20.8-22.3,1254.0,62.0
Symptoms of Depressive Disorder,By State,louisiana,Louisiana,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,23.8,18.8,29.4,18.8 - 29.4,22.4-31.5,2130.0,38.0
Symptoms of Depressive Disorder,By State,maine,Maine,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.1,15.1,25.9,15.1 - 25.9,19.4-20.7,271.0,10.0
Symptoms of Depressive Disorder,By State,maryland,Maryland,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,22.6,19.2,26.3,19.2 - 26.3,22.4-31.5,607.0,37.0
Symptoms of Depressive Disorder,By State,massachusetts,Massachusetts,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,16.5,13.9,19.3,13.9 - 19.3,13.2-19.3,620.0,36.0
Symptoms of Depressive Disorder,By State,michigan,Michigan,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,18.2,15.3,21.3,15.3 - 21.3,13.2-19.3,1740.0,152.0
Symptoms of Depressive Disorder,By State,minnesota,Minnesota,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,15.8,12.8,19.1,12.8 - 19.1,13.2-19.3,991.0,5.0
Symptoms of Depressive Disorder,By State,mississippi,Mississippi,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,31.5,25.5,37.9,25.5 - 37.9,22.4-31.5,827.0,21.0
Symptoms of Depressive Disorder,By State,missouri,Missouri,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.9,17.2,25.0,17.2 - 25.0,20.8-22.3,4227.0,55.0
Symptoms of Depressive Disorder,By State,montana,Montana,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,16.2,12.8,20.2,12.8 - 20.2,13.2-19.3,430.0,13.0
Symptoms of Depressive Disorder,By State,nebraska,Nebraska,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,18.6,15.2,22.4,15.2 - 22.4,13.2-19.3,212.0,2.0
Symptoms of Depressive Disorder,By State,nevada,Nevada,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,25.2,21.5,29.1,21.5 - 29.1,22.4-31.5,1603.0,18.0
Symptoms of Depressive Disorder,By State,new hampshire,New Hampshire,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,13.2,9.6,17.6,9.6 - 17.6,13.2-19.3,200.0,7.0
Symptoms of Depressive Disorder,By State,new jersey,New Jersey,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.3,16.8,24.1,16.8 - 24.1,19.4-20.7,1839.0,42.0
Symptoms of Depressive Disorder,By State,new mexico,New Mexico,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,27.5,22.3,33.1,22.3 - 33.1,22.4-31.5,645.0,13.0
Symptoms of Depressive Disorder,By State,new york,New York,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.0,15.8,24.8,15.8 - 24.8,19.4-20.7,1479.0,36.0
Symptoms of Depressive Disorder,By State,north carolina,North Carolina,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,18.7,15.5,22.3,15.5 - 22.3,13.2-19.3,2738.0,40.0
Symptoms of Depressive Disorder,By State,north dakota,North Dakota,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,19.3,13.9,25.7,13.9 - 25.7,13.2-19.3,191.0,3.0
Symptoms of Depressive Disorder,By State,ohio,Ohio,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.6,16.5,25.1,16.5 - 25.1,19.4-20.7,2183.0,66.0
Symptoms of Depressive Disorder,By State,oklahoma,Oklahoma,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,27.3,22.9,31.9,22.9 - 31.9,22.4-31.5,1052.0,29.0
Symptoms of Depressive Disorder,By State,oregon,Oregon,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.8,17.7,24.1,17.7 - 24.1,20.8-22.3,1765.0,28.0
